ID_CONVOCATORIA,ANIO_CONVOCATORIA,NME_REGION_GR,produccion_total
19,2017,Distrito Capital,99521
19,2017,Eje Cafetero,57701
19,2017,Caribe,40852
19,2017,Centro Oriente,34380
19,2017,Pacífico,31792
19,2017,Centro Sur,5953
19,2017,Llano,1725
20,2019,Distrito Capital,144937
20,2019,Eje Cafetero,102664
20,2019,Caribe,75971
20,2019,Centro Oriente,57967
20,2019,Pacífico,47916
20,2019,Centro Sur,10863
20,2019,Llano,4130
21,2021,Distrito Capital,168771
21,2021,Eje Cafetero,117333
21,2021,Caribe,85171
21,2021,Centro Oriente,76451
21,2021,Pacífico,56737
21,2021,Centro Sur,15156
21,2021,Llano,4859
