ID_CONVOCATORIA,ANIO_CONVOCATORIA,NME_REGION_GR,produccion_total,total_nacional_convocatoria,participacion_porcentual
19,2017,Distrito Capital,99521,271924,36.5988
19,2017,Eje Cafetero,57701,271924,21.2195
19,2017,Caribe,40852,271924,15.0233
19,2017,Centro Oriente,34380,271924,12.6432
19,2017,Pacífico,31792,271924,11.6915
19,2017,Centro Sur,5953,271924,2.1892
19,2017,Llano,1725,271924,0.6344
20,2019,Distrito Capital,144937,444448,32.6106
20,2019,Eje Cafetero,102664,444448,23.0992
20,2019,Caribe,75971,444448,17.0933
20,2019,Centro Oriente,57967,444448,13.0425
20,2019,Pacífico,47916,444448,10.781
20,2019,Centro Sur,10863,444448,2.4442
20,2019,Llano,4130,444448,0.9292
21,2021,Distrito Capital,168771,524478,32.1789
21,2021,Eje Cafetero,117333,524478,22.3714
21,2021,Caribe,85171,524478,16.2392
21,2021,Centro Oriente,76451,524478,14.5766
21,2021,Pacífico,56737,524478,10.8178
21,2021,Centro Sur,15156,524478,2.8897
21,2021,Llano,4859,524478,0.9264
