ID_CONVOCATORIA,ANIO_CONVOCATORIA,NME_REGION_GR,produccion_total,grupos_unicos,produccion_promedio_por_grupo
19,2017,Caribe,40852,620,65.8903
19,2017,Distrito Capital,99521,1628,61.1308
19,2017,Pacífico,31792,526,60.4411
19,2017,Centro Oriente,34380,569,60.4218
19,2017,Eje Cafetero,57701,977,59.0594
19,2017,Centro Sur,5953,154,38.6558
19,2017,Llano,1725,55,31.3636
20,2019,Caribe,75971,751,101.1598
20,2019,Eje Cafetero,102664,1175,87.3736
20,2019,Centro Oriente,57967,703,82.4566
20,2019,Distrito Capital,144937,1765,82.1173
20,2019,Pacífico,47916,636,75.3396
20,2019,Centro Sur,10863,188,57.7819
20,2019,Llano,4130,83,49.759
21,2021,Caribe,85171,810,105.1494
21,2021,Centro Oriente,76451,775,98.6465
21,2021,Eje Cafetero,117333,1206,97.291
21,2021,Distrito Capital,168771,1855,90.9817
21,2021,Pacífico,56737,688,82.4666
21,2021,Centro Sur,15156,210,72.1714
21,2021,Llano,4859,93,52.2473
