NME_REGION_GR,NME_CLASIFICACION_GR,productos
Caribe,A,64347
Caribe,A1,52413
Caribe,B,48907
Caribe,C,32408
Caribe,Reconocido,3919
Centro Oriente,A,49013
Centro Oriente,A1,28675
Centro Oriente,B,48710
Centro Oriente,C,38910
Centro Oriente,Reconocido,3490
Centro Sur,A,7579
Centro Sur,A1,4275
Centro Sur,B,9764
Centro Sur,C,8709
Centro Sur,Reconocido,1645
Distrito Capital,A,98056
Distrito Capital,A1,128489
Distrito Capital,B,100896
Distrito Capital,C,75452
Distrito Capital,Reconocido,10336
Eje Cafetero,A,73941
Eje Cafetero,A1,97334
Eje Cafetero,B,59988
Eje Cafetero,C,41508
Eje Cafetero,Reconocido,4927
Llano,A,1190
Llano,A1,447
Llano,B,3348
Llano,C,5427
Llano,Reconocido,302
Pacífico,A,33788
Pacífico,A1,36067
Pacífico,B,33706
Pacífico,C,29907
Pacífico,Reconocido,2977
