ID_CONVOCATORIA,ANIO_CONVOCATORIA,NME_REGION_GR,NME_CLASIFICACION_GR,productos
19,2017,Caribe,A,12864
19,2017,Caribe,A1,8510
19,2017,Caribe,B,10471
19,2017,Caribe,C,8264
19,2017,Caribe,Reconocido,743
19,2017,Centro Oriente,A,7739
19,2017,Centro Oriente,A1,5351
19,2017,Centro Oriente,B,10738
19,2017,Centro Oriente,C,8877
19,2017,Centro Oriente,Reconocido,1675
19,2017,Centro Sur,A,1091
19,2017,Centro Sur,A1,620
19,2017,Centro Sur,B,1795
19,2017,Centro Sur,C,1951
19,2017,Centro Sur,Reconocido,496
19,2017,Distrito Capital,A,20783
19,2017,Distrito Capital,A1,26289
19,2017,Distrito Capital,B,26502
19,2017,Distrito Capital,C,22314
19,2017,Distrito Capital,Reconocido,3633
19,2017,Eje Cafetero,A,12867
19,2017,Eje Cafetero,A1,16782
19,2017,Eje Cafetero,B,15914
19,2017,Eje Cafetero,C,10057
19,2017,Eje Cafetero,Reconocido,2081
19,2017,Llano,A,162
19,2017,Llano,B,385
19,2017,Llano,C,1035
19,2017,Llano,Reconocido,143
19,2017,Pacífico,A,6240
19,2017,Pacífico,A1,8781
19,2017,Pacífico,B,9194
19,2017,Pacífico,C,6896
19,2017,Pacífico,Reconocido,681
20,2019,Caribe,A,24318
20,2019,Caribe,A1,19748
20,2019,Caribe,B,19664
20,2019,Caribe,C,11494
20,2019,Caribe,Reconocido,747
20,2019,Centro Oriente,A,16672
20,2019,Centro Oriente,A1,9976
20,2019,Centro Oriente,B,16965
20,2019,Centro Oriente,C,13767
20,2019,Centro Oriente,Reconocido,587
20,2019,Centro Sur,A,2221
20,2019,Centro Sur,A1,1517
20,2019,Centro Sur,B,3782
20,2019,Centro Sur,C,2944
20,2019,Centro Sur,Reconocido,399
20,2019,Distrito Capital,A,35471
20,2019,Distrito Capital,A1,44078
20,2019,Distrito Capital,B,35996
20,2019,Distrito Capital,C,25723
20,2019,Distrito Capital,Reconocido,3669
20,2019,Eje Cafetero,A,26375
20,2019,Eje Cafetero,A1,36443
20,2019,Eje Cafetero,B,22090
20,2019,Eje Cafetero,C,16488
20,2019,Eje Cafetero,Reconocido,1268
20,2019,Llano,A,549
20,2019,Llano,A1,90
20,2019,Llano,B,1055
20,2019,Llano,C,2392
20,2019,Llano,Reconocido,44
20,2019,Pacífico,A,12615
20,2019,Pacífico,A1,12060
20,2019,Pacífico,B,11829
20,2019,Pacífico,C,10471
20,2019,Pacífico,Reconocido,941
21,2021,Caribe,A,27165
21,2021,Caribe,A1,24155
21,2021,Caribe,B,18772
21,2021,Caribe,C,12650
21,2021,Caribe,Reconocido,2429
21,2021,Centro Oriente,A,24602
21,2021,Centro Oriente,A1,13348
21,2021,Centro Oriente,B,21007
21,2021,Centro Oriente,C,16266
21,2021,Centro Oriente,Reconocido,1228
21,2021,Centro Sur,A,4267
21,2021,Centro Sur,A1,2138
21,2021,Centro Sur,B,4187
21,2021,Centro Sur,C,3814
21,2021,Centro Sur,Reconocido,750
21,2021,Distrito Capital,A,41802
21,2021,Distrito Capital,A1,58122
21,2021,Distrito Capital,B,38398
21,2021,Distrito Capital,C,27415
21,2021,Distrito Capital,Reconocido,3034
21,2021,Eje Cafetero,A,34699
21,2021,Eje Cafetero,A1,44109
21,2021,Eje Cafetero,B,21984
21,2021,Eje Cafetero,C,14963
21,2021,Eje Cafetero,Reconocido,1578
21,2021,Llano,A,479
21,2021,Llano,A1,357
21,2021,Llano,B,1908
21,2021,Llano,C,2000
21,2021,Llano,Reconocido,115
21,2021,Pacífico,A,14933
21,2021,Pacífico,A1,15226
21,2021,Pacífico,B,12683
21,2021,Pacífico,C,12540
21,2021,Pacífico,Reconocido,1355
