ID_CONVOCATORIA,ANIO_CONVOCATORIA,NME_REGION_GR,tipologias_distintas,productos_considerados
19,2017,Distrito Capital,52,99521
19,2017,Caribe,51,40852
19,2017,Eje Cafetero,51,57701
19,2017,Centro Oriente,50,34380
19,2017,Pacífico,47,31792
19,2017,Centro Sur,41,5953
19,2017,Llano,33,1725
20,2019,Distrito Capital,62,144937
20,2019,Eje Cafetero,61,102664
20,2019,Caribe,58,75971
20,2019,Centro Oriente,58,57967
20,2019,Pacífico,58,47916
20,2019,Centro Sur,52,10863
20,2019,Llano,49,4130
21,2021,Distrito Capital,62,168771
21,2021,Eje Cafetero,62,117333
21,2021,Pacífico,60,56737
21,2021,Caribe,59,85171
21,2021,Centro Oriente,59,76451
21,2021,Centro Sur,54,15156
21,2021,Llano,44,4859
