NME_REGION_GR,NME_GENERO_PR,productos,investigadores_unicos,total_productos_region,participacion_porcentual_genero_region,produccion_promedio_por_investigador
Caribe,Masculino,118156,2283,201994,58.4948,51.7547
Caribe,Femenino,83786,1573,201994,41.4794,53.2651
Caribe,Intersexual,52,1,201994,0.0257,52.0
Centro Oriente,Masculino,103042,2120,168798,61.0446,48.6047
Centro Oriente,Femenino,65754,1378,168798,38.9543,47.717
Centro Oriente,Intersexual,2,1,168798,0.0012,2.0
Centro Sur,Masculino,19303,518,31972,60.3747,37.2645
Centro Sur,Femenino,12669,308,31972,39.6253,41.1331
Distrito Capital,Masculino,260951,5248,413184,63.1561,49.7239
Distrito Capital,Femenino,152225,3403,413184,36.8419,44.7326
Distrito Capital,Intersexual,8,1,413184,0.0019,8.0
Eje Cafetero,Masculino,179849,3629,277698,64.7642,49.5588
Eje Cafetero,Femenino,97849,2196,277698,35.2358,44.5578
Llano,Masculino,6673,188,10714,62.283,35.4947
Llano,Femenino,4040,119,10714,37.7077,33.9496
Llano,Intersexual,1,1,10714,0.0093,1.0
Pacífico,Masculino,87911,1770,136441,64.4315,49.6672
Pacífico,Femenino,48497,1137,136441,35.5443,42.6535
Pacífico,Intersexual,33,3,136441,0.0242,11.0
