institution,researchers,weighted_degree
COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,633,3
ECOPETROL S A,12,2
FUNDACION UNIVERSIDAD DEL NORTE,738,3
INSTITUCION PRESTADORA DE SERVICIOS DE SALUD UNIVERSIDAD DE ANTIOQUIA I P S UNIVERSITARIA,8,2
INSTITUTO COLOMBIANO DEL PETROLEO (ECOPETROL S A),32,2
INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,121,2
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,14,2
INSTITUTO NACIONAL DE SALUD,187,2
INSTITUTO TECNOLOGICO METROPOLITANO,17,2
INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,299,4
PONTIFICIA UNIVERSIDAD JAVERIANA,1825,8
RED IBEROAMERICANA DE INDICADORES DE CIENCIAS Y TECNOLOGIA RICYT,2,2
UNIVERSIDAD CATOLICA LUIS AMIGO,198,2
UNIVERSIDAD CENTRAL,124,2
UNIVERSIDAD DE ANTIOQUIA,2238,19
UNIVERSIDAD DE CARTAGENA,501,2
UNIVERSIDAD DE LOS ANDES,1175,5
UNIVERSIDAD DE LOS LLANOS,143,2
UNIVERSIDAD DE MEDELLIN,391,4
UNIVERSIDAD DE SAN BUENAVENTURA CALI (UNIVERSIDAD DE SAN BUENAVENTURA),552,4
UNIVERSIDAD DEL ROSARIO (COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO),72,3
UNIVERSIDAD DEL VALLE,1233,2
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,636,2
UNIVERSIDAD EAFIT,562,4
UNIVERSIDAD EL BOSQUE,556,2
UNIVERSIDAD INDUSTRIAL DE SANTANDER,915,3
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,323,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),3453,28
UNIVERSIDAD PONTIFICIA BOLIVARIANA,995,2
UNIVERSIDAD SANTO TOMAS,820,2
VEDAS CORPORACION DE INVESTIGACION E INNOVACION,13,2
