NME_REGION_GR,ID_CONVOCATORIA,grupos_unicos,grupos_periodo_anterior,crecimiento_pct
Caribe,19,620,,
Caribe,20,751,620.0,21.129
Caribe,21,810,751.0,7.8562
Centro Oriente,19,569,,
Centro Oriente,20,703,569.0,23.5501
Centro Oriente,21,775,703.0,10.2418
Centro Sur,19,154,,
Centro Sur,20,188,154.0,22.0779
Centro Sur,21,210,188.0,11.7021
Distrito Capital,19,1628,,
Distrito Capital,20,1765,1628.0,8.4152
Distrito Capital,21,1855,1765.0,5.0992
Eje Cafetero,19,977,,
Eje Cafetero,20,1175,977.0,20.2661
Eje Cafetero,21,1206,1175.0,2.6383
Llano,19,55,,
Llano,20,83,55.0,50.9091
Llano,21,93,83.0,12.0482
No disponible,20,87,,
No disponible,21,133,87.0,52.8736
Pacífico,19,526,,
Pacífico,20,636,526.0,20.9125
Pacífico,21,688,636.0,8.1761
