NME_REGION_GR,NME_GENERO_PR,registros,total_region,participacion_genero_region_pct
Caribe,Femenino,83786,201994,41.4794
Caribe,Intersexual,52,201994,0.0257
Caribe,Masculino,118156,201994,58.4948
Centro Oriente,Femenino,65754,168798,38.9543
Centro Oriente,Intersexual,2,168798,0.0012
Centro Oriente,Masculino,103042,168798,61.0446
Centro Sur,Femenino,12669,31972,39.6253
Centro Sur,Masculino,19303,31972,60.3747
Distrito Capital,Femenino,152225,413229,36.8379
Distrito Capital,Intersexual,8,413229,0.0019
Distrito Capital,Masculino,260951,413229,63.1492
Distrito Capital,No disponible,45,413229,0.0109
Eje Cafetero,Femenino,97849,277698,35.2358
Eje Cafetero,Masculino,179849,277698,64.7642
Llano,Femenino,4040,10714,37.7077
Llano,Intersexual,1,10714,0.0093
Llano,Masculino,6673,10714,62.283
No disponible,Femenino,2847,6833,41.6654
No disponible,Intersexual,5,6833,0.0732
No disponible,Masculino,3981,6833,58.2614
Pacífico,Femenino,48497,136445,35.5433
Pacífico,Intersexual,33,136445,0.0242
Pacífico,Masculino,87911,136445,64.4296
Pacífico,No disponible,4,136445,0.0029
