NME_REGION_GR,ID_CONVOCATORIA,NME_CLASIFICACION_GR,produccion_total,total_region_convocatoria,participacion_clasificacion_region_convocatoria_pct
Caribe,19,A,12864,40852,31.4893
Caribe,19,A1,8510,40852,20.8313
Caribe,19,B,10471,40852,25.6315
Caribe,19,C,8264,40852,20.2291
Caribe,19,Reconocido,743,40852,1.8188
Caribe,20,A,24318,75971,32.0096
Caribe,20,A1,19748,75971,25.9941
Caribe,20,B,19664,75971,25.8836
Caribe,20,C,11494,75971,15.1295
Caribe,20,Reconocido,747,75971,0.9833
Caribe,21,A,27165,85171,31.8947
Caribe,21,A1,24155,85171,28.3606
Caribe,21,B,18772,85171,22.0404
Caribe,21,C,12650,85171,14.8525
Caribe,21,Reconocido,2429,85171,2.8519
Centro Oriente,19,A,7739,34380,22.5102
Centro Oriente,19,A1,5351,34380,15.5643
Centro Oriente,19,B,10738,34380,31.2333
Centro Oriente,19,C,8877,34380,25.8202
Centro Oriente,19,Reconocido,1675,34380,4.872
Centro Oriente,20,A,16672,57967,28.7612
Centro Oriente,20,A1,9976,57967,17.2098
Centro Oriente,20,B,16965,57967,29.2667
Centro Oriente,20,C,13767,57967,23.7497
Centro Oriente,20,Reconocido,587,57967,1.0126
Centro Oriente,21,A,24602,76451,32.1801
Centro Oriente,21,A1,13348,76451,17.4595
Centro Oriente,21,B,21007,76451,27.4777
Centro Oriente,21,C,16266,76451,21.2764
Centro Oriente,21,Reconocido,1228,76451,1.6063
Centro Sur,19,A,1091,5953,18.3269
Centro Sur,19,A1,620,5953,10.4149
Centro Sur,19,B,1795,5953,30.1529
Centro Sur,19,C,1951,5953,32.7734
Centro Sur,19,Reconocido,496,5953,8.3319
Centro Sur,20,A,2221,10863,20.4455
Centro Sur,20,A1,1517,10863,13.9648
Centro Sur,20,B,3782,10863,34.8154
Centro Sur,20,C,2944,10863,27.1012
Centro Sur,20,Reconocido,399,10863,3.673
Centro Sur,21,A,4267,15156,28.1539
Centro Sur,21,A1,2138,15156,14.1066
Centro Sur,21,B,4187,15156,27.626
Centro Sur,21,C,3814,15156,25.165
Centro Sur,21,Reconocido,750,15156,4.9485
Distrito Capital,19,A,20783,99521,20.883
Distrito Capital,19,A1,26289,99521,26.4155
Distrito Capital,19,B,26502,99521,26.6296
Distrito Capital,19,C,22314,99521,22.4214
Distrito Capital,19,Reconocido,3633,99521,3.6505
Distrito Capital,20,A,35471,144937,24.4734
Distrito Capital,20,A1,44078,144937,30.4118
Distrito Capital,20,B,35996,144937,24.8356
Distrito Capital,20,C,25723,144937,17.7477
Distrito Capital,20,Reconocido,3669,144937,2.5314
Distrito Capital,21,A,41802,168771,24.7685
Distrito Capital,21,A1,58122,168771,34.4384
Distrito Capital,21,B,38398,168771,22.7515
Distrito Capital,21,C,27415,168771,16.2439
Distrito Capital,21,Reconocido,3034,168771,1.7977
Eje Cafetero,19,A,12867,57701,22.2994
Eje Cafetero,19,A1,16782,57701,29.0844
Eje Cafetero,19,B,15914,57701,27.5801
Eje Cafetero,19,C,10057,57701,17.4295
Eje Cafetero,19,Reconocido,2081,57701,3.6065
Eje Cafetero,20,A,26375,102664,25.6906
Eje Cafetero,20,A1,36443,102664,35.4974
Eje Cafetero,20,B,22090,102664,21.5168
Eje Cafetero,20,C,16488,102664,16.0602
Eje Cafetero,20,Reconocido,1268,102664,1.2351
Eje Cafetero,21,A,34699,117333,29.5731
Eje Cafetero,21,A1,44109,117333,37.593
Eje Cafetero,21,B,21984,117333,18.7364
Eje Cafetero,21,C,14963,117333,12.7526
Eje Cafetero,21,Reconocido,1578,117333,1.3449
Llano,19,A,162,1725,9.3913
Llano,19,B,385,1725,22.3188
Llano,19,C,1035,1725,60.0
Llano,19,Reconocido,143,1725,8.2899
Llano,20,A,549,4130,13.293
Llano,20,A1,90,4130,2.1792
Llano,20,B,1055,4130,25.5448
Llano,20,C,2392,4130,57.9177
Llano,20,Reconocido,44,4130,1.0654
Llano,21,A,479,4859,9.858
Llano,21,A1,357,4859,7.3472
Llano,21,B,1908,4859,39.2673
Llano,21,C,2000,4859,41.1607
Llano,21,Reconocido,115,4859,2.3667
No disponible,20,A,410,2568,15.9657
No disponible,20,A1,319,2568,12.4221
No disponible,20,B,313,2568,12.1885
No disponible,20,C,1151,2568,44.8209
No disponible,20,Reconocido,375,2568,14.6028
No disponible,21,A,791,4265,18.5463
No disponible,21,A1,250,4265,5.8617
No disponible,21,B,972,4265,22.7902
No disponible,21,C,1923,4265,45.0879
No disponible,21,Reconocido,329,4265,7.714
Pacífico,19,A,6240,31792,19.6276
Pacífico,19,A1,8781,31792,27.6202
Pacífico,19,B,9194,31792,28.9192
Pacífico,19,C,6896,31792,21.691
Pacífico,19,Reconocido,681,31792,2.142
Pacífico,20,A,12615,47916,26.3273
Pacífico,20,A1,12060,47916,25.169
Pacífico,20,B,11829,47916,24.687
Pacífico,20,C,10471,47916,21.8528
Pacífico,20,Reconocido,941,47916,1.9639
Pacífico,21,A,14933,56737,26.3197
Pacífico,21,A1,15226,56737,26.8361
Pacífico,21,B,12683,56737,22.354
Pacífico,21,C,12540,56737,22.102
Pacífico,21,Reconocido,1355,56737,2.3882
